Name,County,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,county_name,state,year
"Skagit County, Washington",057,120475.0,41.3,56433.0,28586.0,17805.0,14.778999792488069,SKAGIT,WASHINGTON,2016
"Stevens County, Washington",065,43744.0,46.4,44115.0,22745.0,7133.0,16.30623628383321,STEVENS,WASHINGTON,2016
"Spokane County, Washington",063,485859.0,37.3,50550.0,26860.0,73462.0,15.120024533866822,SPOKANE,WASHINGTON,2016
"Lincoln County, Washington",043,10326.0,48.7,47676.0,25382.0,1506.0,14.584543869843115,LINCOLN,WASHINGTON,2016
"Chelan County, Washington",007,74761.0,39.8,51845.0,26109.0,9318.0,12.46371771378125,CHELAN,WASHINGTON,2016
"Jefferson County, Washington",031,30333.0,56.2,50928.0,30871.0,3541.0,11.67375465664458,JEFFERSON,WASHINGTON,2016
"Kitsap County, Washington",035,257488.0,39.2,65017.0,32801.0,26110.0,10.140278381905176,KITSAP,WASHINGTON,2016
"King County, Washington",033,2079550.0,37.2,78800.0,43629.0,219317.0,10.546368204659663,KING,WASHINGTON,2016
"Pacific County, Washington",049,20743.0,52.2,38387.0,22187.0,3829.0,18.45923926143759,PACIFIC,WASHINGTON,2016
"Pend Oreille County, Washington",051,13001.0,49.8,46036.0,24163.0,2543.0,19.560033843550496,PEND OREILLE,WASHINGTON,2016
"San Juan County, Washington",055,16056.0,55.1,58029.0,40327.0,1749.0,10.893124065769806,SAN JUAN,WASHINGTON,2016
"Skamania County, Washington",059,11316.0,45.4,53082.0,28556.0,1597.0,14.11276069282432,SKAMANIA,WASHINGTON,2016
"Whitman County, Washington",075,47494.0,24.2,38636.0,20957.0,12246.0,25.784309597001727,WHITMAN,WASHINGTON,2016
"Yakima County, Washington",077,247681.0,32.6,45700.0,20653.0,50081.0,20.21996035222726,YAKIMA,WASHINGTON,2016
"Clallam County, Washington",009,72969.0,50.3,47180.0,26967.0,11273.0,15.449026298839232,CLALLAM,WASHINGTON,2016
"Cowlitz County, Washington",015,102854.0,41.7,49127.0,24756.0,17070.0,16.59634044373578,COWLITZ,WASHINGTON,2016
"Ferry County, Washington",019,7639.0,48.2,39555.0,21146.0,1771.0,23.183662783086792,FERRY,WASHINGTON,2016
"Lewis County, Washington",041,75724.0,43.1,44526.0,22947.0,12131.0,16.02002007289631,LEWIS,WASHINGTON,2016
"Douglas County, Washington",017,40101.0,37.1,53758.0,23966.0,5330.0,13.291439116231516,DOUGLAS,WASHINGTON,2016
"Island County, Washington",029,80113.0,44.3,60261.0,32503.0,7362.0,9.18951980327787,ISLAND,WASHINGTON,2016
"Echols County, Georgia",101,4025.0,37.1,35354.0,17989.0,1214.0,30.161490683229815,ECHOLS,GEORGIA,2016
"Glynn County, Georgia",127,82623.0,40.6,46475.0,27819.0,15177.0,18.36897716132312,GLYNN,GEORGIA,2016
"DeKalb County, Georgia",089,723902.0,35.2,52623.0,30517.0,134830.0,18.6254493011485,DEKALB,GEORGIA,2016
"Haralson County, Georgia",143,28667.0,40.8,42281.0,21838.0,5721.0,19.956744689015245,HARALSON,GEORGIA,2016
"Jackson County, Georgia",157,62131.0,38.5,54246.0,23982.0,8330.0,13.407155848127344,JACKSON,GEORGIA,2016
"Jefferson County, Georgia",163,16201.0,38.7,28417.0,16986.0,4535.0,27.992099253132523,JEFFERSON,GEORGIA,2016
"Jones County, Georgia",169,28701.0,40.2,54020.0,26602.0,3888.0,13.54656632173095,JONES,GEORGIA,2016
"Lincoln County, Georgia",181,7712.0,47.3,34720.0,23582.0,1939.0,25.142634854771785,LINCOLN,GEORGIA,2016
"Murray County, Georgia",213,39358.0,37.4,38136.0,17856.0,7315.0,18.58580212409167,MURRAY,GEORGIA,2016
"Muscogee County, Georgia",215,200303.0,33.6,42661.0,23747.0,40006.0,19.972741296935144,MUSCOGEE,GEORGIA,2016
"Pulaski County, Georgia",235,11460.0,41.4,38880.0,17587.0,2342.0,20.43630017452007,PULASKI,GEORGIA,2016
"Rabun County, Georgia",241,16312.0,48.4,38277.0,24374.0,3491.0,21.401422265816578,RABUN,GEORGIA,2016
"Stewart County, Georgia",259,5791.0,37.3,20882.0,13883.0,1666.0,28.7687791400449,STEWART,GEORGIA,2016
"Towns County, Georgia",281,10976.0,53.0,39321.0,21671.0,1528.0,13.921282798833818,TOWNS,GEORGIA,2016
"Treutlen County, Georgia",283,6711.0,40.3,40204.0,21307.0,1184.0,17.6426762032484,TREUTLEN,GEORGIA,2016
