Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Year
1238,5950,48.7,63109,35946,607,10.20168067,2016
1240,4592,58.3,54250,48764,353,7.68728223,2016
1242,429,32,56840,25313,3,0.699300699,2016
1243,381,56.4,76250,46979,26,6.824146982,2016
1244,82,60.3,-666666666,51809,9,10.97560976,2016
1245,870,54.7,66136,42633,106,12.18390805,2016
1247,15725,44.4,38007,23957,2580,16.40699523,2016
1253,734,51.9,71010,39333,20,2.72479564,2016
1254,985,58.7,89583,67264,68,6.903553299,2016
1255,869,50.5,67333,36881,36,4.14269275,2016
1256,764,47.9,49000,27351,58,7.591623037,2016
1257,2164,52.6,50688,34538,341,15.75785582,2016
1258,359,63,65739,45881,29,8.077994429,2016
1259,556,60.2,61125,56822,40,7.194244604,2016
1260,545,42.9,101979,26842,26,4.770642202,2016
1262,1196,54.3,45500,38899,164,13.71237458,2016
1264,161,61.4,75417,45563,26,16.14906832,2016
1266,1380,56.6,68542,46857,64,4.637681159,2016
1267,7846,31.2,73085,30864,584,7.443283202,2016
1270,814,51.2,71250,38157,70,8.5995086,2016
1301,17730,42.6,49024,28633,2217,12.50423012,2016
1330,1468,50.2,79118,40071,81,5.517711172,2016
1331,13205,43.9,51750,25349,2020,15.2972359,2016
1337,2598,50.6,65139,33697,188,7.236335643,2016
1338,138,60.6,66375,25680,5,3.623188406,2016
1339,1461,49.4,51346,31610,152,10.40383299,2016
1340,1689,51.9,54063,29598,212,12.5518058,2016
1341,1716,50.2,89688,44806,48,2.797202797,2016
1342,1768,47.4,102219,46922,164,9.2760181,2016
1343,46,59.1,83125,40280,0,0,2016
1344,1582,41.6,61563,27271,201,12.70543616,2016
1346,465,50.1,56500,33586,49,10.53763441,2016
1347,133,38.9,39211,19143,22,16.54135338,2016
1349,1106,42.1,60493,25594,47,4.24954792,2016
1350,95,45.5,31750,22175,6,6.315789474,2016
1351,2312,46.4,81833,39407,190,8.21799308,2016
1354,1656,44.4,74167,33295,132,7.971014493,2016
1355,915,51.5,68681,36187,56,6.120218579,2016
1360,3006,45.7,63963,33157,127,4.224883566,2016
1364,7832,46.5,37911,22077,1049,13.39376915,2016
1366,1202,50.5,65774,35322,55,4.575707155,2016
1367,686,42.2,50357,25178,151,22.01166181,2016
1368,1363,48.3,67333,28429,138,10.12472487,2016
1370,3879,51.4,54803,36488,378,9.744779582,2016
1373,4184,46.8,71174,36138,234,5.592734226,2016
1375,3673,27.7,53934,34286,645,17.56057718,2016
1376,5101,43.8,41836,25130,1038,20.34895119,2016
1378,734,54.8,56985,31262,64,8.719346049,2016
1379,775,52,44750,29457,126,16.25806452,2016
1420,40441,34.6,50617,23622,7368,18.21913405,2016
1430,6171,42.3,86219,35860,375,6.07681089,2016
1431,3196,45.4,89934,32514,246,7.697121402,2016
1432,7594,38.8,77462,42565,899,11.83829339,2016
1434,1716,43,54318,15055,150,8.741258741,2016
1436,3823,40.8,77083,28266,328,8.57964949,2016
1438,635,48.4,70028,27062,161,25.35433071,2016
1440,20334,39.8,46410,24680,3637,17.88629881,2016
1450,11182,45.1,117500,50656,441,3.943838312,2016
