year,state,state_po,county_name,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Winner
2012,MARYLAND,MD,HARFORD,245396,39.5,80441,34953,7.389280999,Republican
2012,MARYLAND,MD,HOWARD,288676,38.3,107821,47662,4.331153265,Democrat
2012,MARYLAND,MD,PRINCE GEORGE'S,865443,35,73568,32254,8.459829244,Democrat
2012,MARYLAND,MD,BALTIMORE,807318,39,66068,34447,8.339836347,Democrat
2012,MARYLAND,MD,FREDERICK,234268,38.5,83706,36472,5.588044462,Republican
2012,MARYLAND,MD,GARRETT,30079,42.9,45354,24904,12.62342498,Republican
2012,MARYLAND,MD,KENT,20184,45.3,54614,32579,10.06242568,Republican
2012,MARYLAND,MD,CARROLL,167249,41.1,83155,35242,5.400331243,Republican
2012,MARYLAND,MD,QUEEN ANNE'S,47894,42.2,86013,36526,7.368355118,Republican
2012,MARYLAND,MD,CHARLES,147107,37.2,93063,37157,6.664536698,Democrat
2012,MARYLAND,MD,WASHINGTON,147882,39.8,54561,26356,11.29887343,Republican
2012,MARYLAND,MD,WICOMICO,98940,35.6,50639,25417,15.60137457,Republican
2012,MARYLAND,MD,CAROLINE,32947,38.9,60735,25300,12.65365587,Republican
2012,MASSACHUSETTS,MA,SUFFOLK,724502,31.6,52700,32429,19.55798604,Democrat
2012,MASSACHUSETTS,MA,DUKES,16581,45.4,65896,33125,10.72311682,Democrat
2012,MASSACHUSETTS,MA,MIDDLESEX,1507558,38.5,81420,42289,7.648660947,Democrat
2012,MASSACHUSETTS,MA,BRISTOL,548739,39.9,55995,28744,11.69791103,Democrat
2012,MASSACHUSETTS,MA,HAMPDEN,464072,38.8,49729,25646,16.55756003,Democrat
2012,ARIZONA,AZ,PIMA,981048,37.7,46443,25525,18.04447897,Democrat
2012,ARIZONA,AZ,MARICOPA,3841819,34.6,54385,27552,15.6098192,Republican
2012,ARIZONA,AZ,GRAHAM,37115,31.8,44421,16967,20.01347164,Republican
2012,ARIZONA,AZ,SANTA CRUZ,47057,35.5,37692,17116,26.56140425,Democrat
2012,ARIZONA,AZ,LA PAZ,20460,54.1,35093,21854,20,Republican
2012,ARIZONA,AZ,MOHAVE,201216,47.4,39383,20725,17.96825302,Republican
2012,ARIZONA,AZ,COCONINO,134011,30.9,48320,22664,20.61323324,Democrat
2012,ARIZONA,AZ,YAVAPAI,211280,49.3,43652,26335,15.10696706,Republican
2012,ARIZONA,AZ,GREENLEE,8592,33.7,49692,20297,17.20204842,Republican
2012,ARIZONA,AZ,PINAL,368374,35.8,50164,20901,14.16712363,Republican
2012,ARKANSAS,AR,NEVADA,9003,39.6,35578,19786,26.64667333,Republican
2012,ARKANSAS,AR,CROSS,17891,39.4,39665,19282,15.99128053,Republican
2012,ARKANSAS,AR,DALLAS,8122,42.9,30309,17056,17.06476237,Republican
2012,ARKANSAS,AR,COLUMBIA,24644,36.1,34895,18999,23.17805551,Republican
2012,ARKANSAS,AR,SALINE,107498,38.7,53817,25843,8.512716516,Republican
2012,ARKANSAS,AR,VAN BUREN,17223,46.5,33900,19108,23.90988794,Republican
2012,ARKANSAS,AR,IZARD,13614,47.3,31011,17422,17.78316439,Republican
2012,MICHIGAN,MI,MIDLAND,83744,40.3,52947,29564,11.96742453,Republican
2012,MICHIGAN,MI,OGEMAW,21674,47.5,35320,19106,20.24545538,Republican
2012,MICHIGAN,MI,CRAWFORD,14119,47.5,39982,21515,17.93328139,Republican
2012,MICHIGAN,MI,GRATIOT,42340,38.5,40224,18992,15.92111479,Republican
2012,MICHIGAN,MI,LENAWEE,99878,40.2,48528,22256,13.43839484,Republican
2012,KENTUCKY,KY,BULLITT,74431,38.2,53922,23952,10.11675243,Republican
2012,ARKANSAS,AR,INDEPENDENCE,36572,38,34374,19863,22.90823581,Republican
2012,ARKANSAS,AR,LINCOLN,14167,37.7,34107,15161,22.16418437,Republican
2012,ARKANSAS,AR,LOGAN,22352,41.7,37237,19587,15.41696492,Republican
2012,ARKANSAS,AR,GRANT,17852,39.4,49063,22190,8.267981179,Republican
2012,ARKANSAS,AR,CRITTENDEN,50618,33.8,36521,19548,24.46560512,Democrat
2012,ARKANSAS,AR,FRANKLIN,18110,40.8,35918,18694,18.37106571,Republican
2012,ARKANSAS,AR,FAULKNER,113730,31.4,49008,23763,13.93827486,Republican
2012,ARKANSAS,AR,PIKE,11261,39.8,32087,18316,20.41559364,Republican
2012,ARKANSAS,AR,JEFFERSON,76836,37.2,37561,19300,21.62658129,Democrat
2012,ARKANSAS,AR,MARION,16712,50.2,33497,18935,17.94518909,Republican
2012,ARKANSAS,AR,MONTGOMERY,9453,46.4,33240,19298,22.37384957,Republican
2012,ARKANSAS,AR,SCOTT,11170,41.4,38130,18766,19.61504029,Republican
2012,ARKANSAS,AR,SEARCY,8146,47.1,30301,15508,24.71151485,Republican
2012,ARKANSAS,AR,SEBASTIAN,125795,36.6,40247,22613,20.17250288,Republican
2012,ARKANSAS,AR,CRAWFORD,61670,38,39981,18737,19.09680558,Republican
2012,ARKANSAS,AR,BENTON,222028,34.5,53515,26199,11.94263787,Republican
2012,ARKANSAS,AR,CHICOT,11759,42.5,25188,15975,30.03656774,Democrat
2012,ARKANSAS,AR,HOT SPRING,33011,39.6,39652,18344,13.51973585,Republican
2012,ARKANSAS,AR,JOHNSON,25554,37.6,32198,19422,18.53330203,Republican
2012,ARKANSAS,AR,LEE,10430,39.8,26098,12475,26.55800575,Democrat
2012,ARKANSAS,AR,MADISON,15674,40.4,33481,17718,23.54855174,Republican
2012,ARKANSAS,AR,FULTON,12301,46.9,35059,18243,19.12039672,Republican
2012,ARKANSAS,AR,HOWARD,13790,37.1,35236,18531,23.32849891,Republican
2012,ARKANSAS,AR,MISSISSIPPI,46388,34.6,35651,18912,23.6677589,Republican
2012,ARKANSAS,AR,PRAIRIE,8659,44.6,35806,18312,18.47788428,Republican
2012,ARKANSAS,AR,UNION,41594,39.8,39349,21208,20.55104102,Republican
2012,ARKANSAS,AR,CLEVELAND,8685,40.2,38060,20093,18.13471503,Republican
2012,ARKANSAS,AR,HEMPSTEAD,22548,38.6,31193,17493,26.39258471,Republican
2012,ARKANSAS,AR,SHARP,17278,46.4,30240,15883,22.89038083,Republican
